Trends file:
Created by:		chris
Created on:\tt09/18/2021T14:31:1631989880Z
Number of trends:	20
Country:		united_states
Zulu,#0,#1,#2,#3,#4,#5,#6,#7,#8,#9,#10,#11,#12,#13,#14,#15,#16,#17,#18,#19,
10/08/2021T04:00:1633680006Z,Seahawks,Astros,Lakers,USMNT,Mexico vs Canada,Tampa Bay Rays,Belgium vs France,Adele,Pooh Shiesty,Mexico soccer,Chris Evans,Rachel Maddow,Newcastle United,Resident Evil: Welcome to Raccoon City,Candace Parker,Coastal Carolina football,Geoffrey Paschel,Jessica Walter,Calvin Ridley,Cooper Kupp,
10/08/2021T05:00:1633683605Z,Seahawks,Astros,USMNT,Tampa Bay Rays,Mexico vs Canada,Tony Allen,Lakers,Belgium vs France,Adele,Pooh Shiesty,Chris Evans,Rachel Maddow,Newcastle United,Resident Evil: Welcome to Raccoon City,Coastal Carolina football,Cooper Kupp,Geoffrey Paschel,Candace Parker,FOX Sports,Calvin Ridley,
10/08/2021T06:00:1633687206Z,Seahawks,Astros,USMNT,Tampa Bay Rays,Tony Allen,Mexico vs Canada,Belgium vs France,Lakers,Adele,Pooh Shiesty,Chris Evans,Rachel Maddow,Newcastle United,Resident Evil: Welcome to Raccoon City,Cooper Kupp,Candace Parker,Calvin Ridley,Lego Titanic,Carey Price,Abdulrazak Gurnah,
10/08/2021T07:00:1633690805Z,Seahawks,Astros,USMNT,Tampa Bay Rays,Mexico vs Canada,Tony Allen,Lakers,Adele,Pooh Shiesty,Chris Evans,Rachel Maddow,Newcastle United,Resident Evil: Welcome to Raccoon City,Candace Parker,Calvin Ridley,Lego Titanic,Carey Price,Abdulrazak Gurnah,Madonna,Ted Cruz,
10/08/2021T08:00:1633694406Z,Seahawks,Astros,USMNT,Tampa Bay Rays,Mexico vs Canada,Lakers,Adele,Tony Allen,Pooh Shiesty,Chris Evans,Rachel Maddow,Newcastle United,Resident Evil: Welcome to Raccoon City,Geoffrey Paschel,Coastal Carolina football,Candace Parker,Calvin Ridley,Jessica Walter,Lego Titanic,Madonna,
10/08/2021T09:00:1633698005Z,Nintendo Switch OLED,Seahawks,Astros,USMNT,Tampa Bay Rays,Mexico vs Canada,Tony Allen,Lakers,Adele,Pooh Shiesty,Chris Evans,Rachel Maddow,France vs Belgium,Resident Evil: Welcome to Raccoon City,Newcastle United,Geoffrey Paschel,Coastal Carolina football,Candace Parker,Calvin Ridley,Madonna,
10/08/2021T10:00:1633701606Z,Nintendo Switch OLED,Seahawks,Astros,USMNT,Tampa Bay Rays,Tony Allen,Mexico vs Canada,Lakers,Adele,Pooh Shiesty,Chris Evans,Rachel Maddow,Resident Evil: Welcome to Raccoon City,Newcastle United,Geoffrey Paschel,Coastal Carolina football,Candace Parker,Calvin Ridley,Madonna,Lego Titanic,
10/08/2021T11:00:1633705206Z,Nintendo Switch OLED,Seahawks,Astros,USMNT,Tampa Bay Rays,Mexico vs Canada,Tony Allen,Adele,Lakers,Pooh Shiesty,Chris Evans,Rachel Maddow,France vs Belgium,Resident Evil: Welcome to Raccoon City,Geoffrey Paschel,Newcastle United,Candace Parker,Calvin Ridley,Lego Titanic,Carey Price,
10/08/2021T12:00:1633708805Z,Nintendo Switch OLED,Seahawks,Astros,USMNT,Tampa Bay Rays,Mexico vs Canada,Adele,Lakers,Pooh Shiesty,Chris Evans,Rachel Maddow,Tony Allen,Geoffrey Paschel,Resident Evil: Welcome to Raccoon City,Newcastle United,Candace Parker,Calvin Ridley,Lego Titanic,Carey Price,Abdulrazak Gurnah,
10/08/2021T13:00:1633712405Z,Nintendo Switch OLED,Seahawks,Astros,USMNT,Tampa Bay Rays,Mexico vs Canada,Tony Allen,Adele,Belgium vs France,Lakers,Pooh Shiesty,Chris Evans,Rachel Maddow,Geoffrey Paschel,Alex Collins,Resident Evil: Welcome to Raccoon City,Newcastle United,Candace Parker,Calvin Ridley,Lego Titanic,
10/08/2021T14:00:1633716005Z,Nintendo Switch OLED,Seahawks,Astros,Tampa Bay Rays,USMNT,Mexico vs Canada,Tony Allen,Adele,Lakers,Pooh Shiesty,Chris Evans,Rachel Maddow,Geoffrey Paschel,Resident Evil: Welcome to Raccoon City,Alex Collins,Newcastle United,Calvin Ridley,Candace Parker,Lego Titanic,Jamie Clayton,
10/08/2021T15:00:1633719606Z,Nintendo Switch OLED,Seahawks,Red Sox,Astros,USMNT,Mexico vs Canada,Adele,Lakers,Tony Allen,Pooh Shiesty,Chris Evans,Rachel Maddow,Geoffrey Paschel,Resident Evil: Welcome to Raccoon City,Alex Collins,Newcastle United,Madonna,Calvin Ridley,Lego Titanic,Candace Parker,
10/08/2021T16:00:1633723205Z,Nintendo Switch OLED,Seahawks,Red Sox,Astros,USMNT,Mexico vs Canada,Adele,Lakers,Tony Allen,Pooh Shiesty,Chris Evans,Geoffrey Paschel,Rachel Maddow,Resident Evil: Welcome to Raccoon City,Alex Collins,Newcastle United,Madonna,Calvin Ridley,Lego Titanic,Candace Parker,
10/08/2021T17:00:1633726806Z,Nintendo Switch OLED,Seahawks,Red Sox,Astros,USMNT,Mexico vs Canada,Tony Allen,Adele,Lakers,Pooh Shiesty,Chris Evans,Geoffrey Paschel,Rachel Maddow,Resident Evil: Welcome to Raccoon City,Madonna,Alex Collins,Newcastle United,Calvin Ridley,Lego Titanic,Candace Parker,
10/08/2021T18:00:1633730406Z,Nintendo Switch OLED,Shannen Doherty,Bobby Flay,Seahawks,Red Sox,Astros,USMNT,Mexico vs Canada,Tony Allen,Adele,Lakers,Pooh Shiesty,Chris Evans,Geoffrey Paschel,Rachel Maddow,Nuclear submarine South China Sea,Madonna,Resident Evil: Welcome to Raccoon City,Alex Collins,Newcastle United,
10/08/2021T19:00:1633734007Z,Nintendo Switch OLED,Shannen Doherty,Bobby Flay,Halsey,Seahawks,Red Sox,Astros,USMNT,Mexico vs Canada,Adele,Tony Allen,Lakers,Pooh Shiesty,Chris Evans,Geoffrey Paschel,Madonna,Nuclear submarine South China sea,Rachel Maddow,Resident Evil: Welcome to Raccoon City,Alex Collins,
10/08/2021T20:00:1633737606Z,Nintendo Switch OLED,Bobby Flay,Shannen Doherty,Halsey,Rich Paul,Seahawks,Red Sox,Astros,Mexico vs Canada,USMNT,Adele,Tony Allen,Chris Evans,Lakers,Pooh Shiesty,Geoffrey Paschel,Madonna,Nuclear submarine South China Sea,Rachel Maddow,Resident Evil: Welcome to Raccoon City,
10/08/2021T21:00:1633741206Z,Nintendo Switch OLED,Instagram down,Bobby Flay,Halsey,Shannen Doherty,Orlando Brown,Rich Paul,Seahawks,Red Sox,White Sox,USMNT,Mexico vs Canada,Astros,Tony Allen,Adele,Chris Evans,Lakers,Pooh Shiesty,Madonna,Geoffrey Paschel,
10/08/2021T22:00:1633744806Z,Nintendo Switch OLED,Apple Watch Series 7,Instagram down,Bobby Flay,Halsey,Shannen Doherty,Rich Paul,Seahawks,Astros,Red Sox,USMNT,Mexico vs Canada,Tony Allen,Adele,Chris Evans,Lakers,Pooh Shiesty,Madonna,Geoffrey Paschel,Nuclear submarine South China Sea,
10/08/2021T23:00:1633748406Z,Nintendo Switch OLED,Brewers,James Bond No Time to Die,Apple Watch Series 7,Instagram down,Bobby Flay,Halsey,Shannen Doherty,Jon Gruden,Seahawks,Red Sox,White Sox,USMNT,Mexico vs Canada,Astros,Tony Allen,Adele,Chris Evans,Lakers,Pooh Shiesty,
10/09/2021T00:00:1633752005Z,Nintendo Switch OLED,Brewers,Jon Gruden,James Bond No Time to Die,Apple Watch Series 7,Instagram down,Bobby Flay,Paraplegic,Halsey,Shannen Doherty,Jesy Nelson,Seahawks,Red Sox,White Sox,Mexico vs Canada,USMNT,Astros,Tony Allen,Adele,Chris Evans,
10/09/2021T01:00:1633755605Z,Brewers,Nintendo Switch OLED,Jon Gruden,James Bond No Time to Die,Apple Watch Series 7,Instagram down,Bobby Flay,Mallet finger,Halsey,Shannen Doherty,Jesy Nelson,Seahawks,Astros,Red Sox,USMNT,Mexico vs Canada,Tony Allen,Adele,Chris Evans,Lakers,
10/09/2021T02:00:1633759205Z,Brewers,Nintendo Switch OLED,Jon Gruden,James Bond No Time to Die,Apple Watch Series 7,Giants vs Dodgers,Instagram down,Bobby Flay,Paraplegic,Halsey,Mallet finger,Muppets Haunted Mansion,Shannen Doherty,Orlando Brown,Cincinnati football,Seahawks,Astros,Red Sox,USMNT,Mexico vs Canada,
10/09/2021T03:00:1633762806Z,Brewers,Nintendo Switch OLED,Jon Gruden,Dodgers vs Giants,James Bond No Time to Die,Cincinnati Football,Apple Watch Series 7,Instagram down,Bobby Flay,Paraplegic,Halsey,Mallet finger,Muppets Haunted Mansion,Jesy Nelson,Shannen Doherty,Grand Theft Auto Trilogy,Seahawks,Astros,Red Sox,USMNT,
10/09/2021T04:00:1633766406Z,Brewers,Nintendo Switch OLED,Jon Gruden,Giants vs Dodgers,James Bond No Time to Die,Cincinnati Football,Apple Watch Series 7,Instagram down,Bobby Flay,Paraplegic,Muppets Haunted Mansion,Halsey,Mallet finger,Shannen Doherty,Meteor shower tonight,Grand Theft Auto Trilogy,That '90s Show,Rich Paul,Seahawks,Astros,
10/09/2021T05:00:1633770006Z,Brewers,Giants vs Dodgers,Nintendo Switch OLED,Jon Gruden,James Bond No Time to Die,Apple Watch Series 7,Instagram down,Bobby Flay,Cincinnati Football,Muppets Haunted Mansion,Casino Royale,Jesy Nelson,Halsey,Mallet finger,That '90s Show,Meteor shower tonight,Grand Theft Auto Trilogy,Shannen Doherty,Stanford football,Rich Paul,
10/09/2021T06:00:1633773605Z,Brewers,Giants vs Dodgers,Nintendo Switch OLED,Jon Gruden,James Bond No Time to Die,Apple Watch Series 7,Instagram down,Bobby Flay,Cincinnati football,Muppets Haunted Mansion,Wilder vs Fury 3,Jesy Nelson,Halsey,Mallet finger,That '90s Show,Stanford football,Meteor shower tonight,Grand Theft Auto Trilogy,Shannen Doherty,Maria Ressa,
10/09/2021T07:00:1633777205Z,Brewers,Giants vs Dodgers,Nintendo Switch OLED,Jon Gruden,James Bond No Time to Die,Warriors,Cincinnati football,Apple Watch Series 7,Bobby Flay,Muppets Haunted Mansion,Wilder vs Fury 3,Halsey,That '90s Show,Stanford football,Jaclyn Moore,Meteor shower tonight,Grand Theft Auto Trilogy,Shannen Doherty,Bulls,Maria Ressa,
10/09/2021T08:00:1633780805Z,Fury vs Wilder 3,Bruno Mars,Brewers,Giants vs Dodgers,Nintendo Switch OLED,Jon Gruden,James Bond No Time to Die,Warriors,Cincinnati football,Apple Watch Series 7,Instagram down,Bobby Flay,Muppets Haunted Mansion,Wilder vs Fury 3,Stanford football,Halsey,Jesy Nelson,Asu football,Grand Theft Auto Trilogy,Orlando Brown,
10/09/2021T09:00:1633784405Z,Fury vs Wilder 3,Bruno Mars,Brewers,Giants vs Dodgers,Jon Gruden,Nintendo Switch OLED,James Bond No Time to Die,Warriors,Cincinnati football,Apple Watch Series 7,Instagram down,Bobby Flay,Muppets Haunted Mansion,Wilder vs Fury 3,That '90s Show,Stanford football,Halsey,Meteor shower tonight,Grand Theft Auto Trilogy,Shannen Doherty,
10/09/2021T10:00:1633788005Z,Bruno Mars,Brewers,Giants vs Dodgers,Nintendo Switch OLED,Fury vs Wilder 3,Jon Gruden,James Bond No Time to Die,Warriors,Cincinnati football,Apple Watch Series 7,Instagram down,Bobby Flay,Muppets Haunted Mansion,That '90s Show,Stanford football,Halsey,Jesy Nelson,Meteor shower tonight,Grand Theft Auto Trilogy,Shannen Doherty,
10/09/2021T11:00:1633791606Z,Bruno Mars,Brewers,Giants vs Dodgers,Jon Gruden,Nintendo Switch OLED,James Bond No Time to Die,Fury vs Wilder 3,Warriors,Apple Watch Series 7,Instagram down,Bobby Flay,Cincinnati Football,Muppets Haunted Mansion,Stanford football,Halsey,Jesy Nelson,Grand Theft Auto Trilogy,Shannen Doherty,Bulls,Maria Ressa,
10/09/2021T12:00:1633795206Z,Bruno Mars,Brewers,Giants vs Dodgers,Nintendo Switch OLED,James Bond No Time to Die,Fury vs Wilder 3,Russell Wilson injury,Jon Gruden,Warriors,Apple Watch Series 7,Instagram down,Bobby Flay,Cincinnati Football,Muppets Haunted Mansion,Stanford football,That '90s Show,Halsey,Meteor shower tonight,Grand Theft Auto Trilogy,Shannen Doherty,
10/09/2021T13:00:1633798806Z,Bruno Mars,Giants vs Dodgers,Brewers,Nintendo Switch OLED,Fury vs Wilder 3,James Bond No Time to Die,Russell Wilson injury,Jon Gruden,Warriors,Apple Watch Series 7,Instagram down,Cincinnati Football,Bobby Flay,Muppets Haunted Mansion,Stanford football,That '90s Show,Halsey,Jesy Nelson,Grand Theft Auto Trilogy,Meteor shower tonight,
10/09/2021T14:00:1633802406Z,Bruno Mars,Dodgers,Brewers,Lakers,Nintendo Switch OLED,Fury vs Wilder 3,Jon Gruden,Russell Wilson injury,James Bond No Time to Die,Apple Watch Series 7,Instagram down,Cincinnati Football,Bobby Flay,Muppets Haunted Mansion,Stanford football,That '90s Show,Halsey,Grand Theft Auto Trilogy,Meteor shower tonight,Bulls,
10/09/2021T15:00:1633806006Z,Bruno Mars,Dodgers,Brewers,Lakers,Nintendo Switch OLED,Fury vs Wilder 3,Jon Gruden,Russell Wilson injury,James Bond No Time to Die,Stanford football,Apple Watch Series 7,Instagram down,Cincinnati Football,Bobby Flay,Muppets Haunted Mansion,That '90s Show,Grand Theft Auto Trilogy,Halsey,Jesy Nelson,Meteor shower tonight,
10/09/2021T16:00:1633809605Z,Bruno Mars,Dodgers,Brewers,Lakers,Fury vs Wilder 3,Nintendo Switch OLED,Jon Gruden,Russell Wilson injury,James Bond No Time to Die,Stanford football,Apple Watch Series 7,Cincinnati Football,Bobby Flay,That '90s Show,Muppets Haunted Mansion,Grand Theft Auto Trilogy,Halsey,Jesy Nelson,Meteor shower tonight,Bulls,
10/09/2021T17:00:1633813206Z,Bruno Mars,Dodgers,Brewers,Lakers,Fury vs Wilder 3,Nintendo Switch OLED,Jon Gruden,Russell Wilson injury,James Bond No Time To Die,Stanford football,That '90s Show,Apple Watch Series 7,Cincinnati Football,Bobby Flay,Muppets Haunted Mansion,Grand Theft Auto Trilogy,Halsey,Jesy Nelson,Meteor shower tonight,Bulls,
10/09/2021T18:00:1633816805Z,Lakers,Oklahoma vs Texas,Bruno Mars,John Lennon,Dodgers,Brewers,Fury vs Wilder 3,Jon Gruden,Nintendo Switch OLED,Russell Wilson injury,Warriors,James Bond No Time To Die,Stanford football,That '90s Show,Apple Watch Series 7,Cincinnati Football,Bobby Flay,Muppets Haunted Mansion,Grand Theft Auto Trilogy,Jesy Nelson,
10/09/2021T19:00:1633820406Z,Oklahoma football,Lakers,Spencer Rattler,Arizona State football,John Lennon,Bruno Mars,Dodgers,Brewers,Fury vs Wilder 3,Jon Gruden,Nintendo Switch OLED,Russell Wilson injury,Warriors,James Bond No Time To Die,Cincinnati Football,Bulls,Apple Watch Series 7,That '90s Show,Stanford football,Bobby Flay,
10/09/2021T20:00:1633824006Z,Oklahoma football,Lakers,Spencer Rattler,Arizona State football,Baylor football,China over Taiwan,John Lennon,Bruno Mars,Chicago Marathon 2021,Dodgers,Brewers,Fury vs Wilder 3,Nintendo Switch OLED,Jon Gruden,James Bond No Time to Die,Russell Wilson injury,Cincinnati Football,Bulls,Apple Watch Series 7,Warriors,
10/09/2021T21:00:1633827606Z,Oklahoma football,Lakers,Baylor football,Arizona State football,China over Taiwan,Georgia vs Auburn,John Lennon,Penn State vs Iowa,South Carolina vs Tennessee,Chicago Marathon 2021,Bruno Mars,Diana Taurasi,Dodgers,Brewers,Fury Vs. Wilder 3,Nintendo Switch OLED,Jon Gruden,James Bond No Time to Die,Russell Wilson injury,Warriors,
10/09/2021T22:00:1633831206Z,Oklahoma Football,Penn State vs Iowa,Georgia vs Auburn,Baylor football,China over Taiwan,John Lennon,South Carolina vs Tennessee,Diana Taurasi,Chicago Marathon 2021,Bruno Mars,Dodgers,Fury vs Wilder 3,Brewers,Lakers,Nintendo Switch OLED,Jon Gruden,James Bond No Time to Die,Russell Wilson injury,Cincinnati Football,Stanford football,
10/09/2021T23:00:1633834806Z,Oklahoma football,Penn State vs Iowa,Georgia vs Auburn,Baylor football,John Lennon,South Carolina vs Tennessee,Diana Taurasi,Chicago Marathon 2021,Bruno Mars,Dodgers,Fury vs Wilder 3,Brewers,Lakers,Nintendo Switch OLED,Jon Gruden,James Bond No Time to Die,Cincinnati Football,Russell Wilson injury,Stanford football,Bulls,
10/10/2021T00:00:1633838406Z,Oklahoma football,Auburn football,Penn State vs Iowa,China over Taiwan,John Lennon,Casey Thompson,South Carolina vs Tennessee,Diana Taurasi,That '70s Show,Chicago Marathon 2021,Bruno Mars,Dodgers,Fury vs Wilder 3,Brewers,Lakers,Nintendo Switch OLED,Jon Gruden,James Bond No Time to Die,Russell Wilson injury,Cincinnati Football,
10/10/2021T01:00:1633842006Z,Oklahoma Football,Auburn football,Penn State vs Iowa,Georgia vs Auburn,Sean Clifford,Baylor Football,China over Taiwan,Alabama vs Texas A&M,John Lennon,Virginia Tech Football,Casey Thompson,South Carolina vs Tennessee,Diana Taurasi,Chicago Marathon 2021,Michigan vs Nebraska,Bruno Mars,Dodgers,Fury vs Wilder 3,Brewers,Lakers,
10/10/2021T02:00:1633845606Z,Oklahoma football,Auburn football,Penn State vs Iowa,Alabama vs Texas A&M,Virginia Tech football,Baylor football,China over Taiwan,Michigan vs Nebraska,John Lennon,Auburn vs Georgia,Diana Taurasi,Texas,Casey Thompson,South Carolina vs Tennessee,LSU vs Kentucky,Iowa,Chicago Marathon 2021,Bruno Mars,Leif Erikson Day,Fury vs Wilder 3,
10/10/2021T03:00:1633849205Z,Oklahoma football,Iowa football,Texas A&M football,Auburn football,Sean Clifford,Baylor Football,Michigan vs Nebraska,LSU vs Kentucky,Notre Dame vs Virginia Tech,China over Taiwan,John Lennon,Auburn vs Georgia,Diana Taurasi,Casey Thompson,Texas,South Carolina vs Tennessee,Chicago Marathon 2021,Leif Erikson Day,Bruno Mars,Fury vs Wilder 3,
10/10/2021T04:00:1633852805Z,Spencer Rattler,Texas A&M football,Iowa football,Auburn football,Penn State vs Iowa,Virginia Tech football,Michigan vs Nebraska,LSU vs Kentucky,John Lennon,China over Taiwan,Casey Thompson,Diana Taurasi,Texas,South Carolina vs Tennessee,Chicago Marathon 2021,Utah football,Chicago Bulls,BYU,Leif Erikson Day,Jon Gruden email,
10/10/2021T05:00:1633856406Z,Alabama football,Oklahoma football,Iowa football,Auburn football,Sean Clifford,Virginia Tech football,Michigan vs Nebraska,LSU vs Kentucky,John Lennon,Mr. Olympia 2021,Casey Thompson,Texas,Diana Taurasi,South Carolina vs Tennessee,Chicago Marathon 2021,Utah football,Chicago Bulls,Leif Erikson Day,BYU,Jon Gruden email,
10/10/2021T06:00:1633860006Z,Alabama football,Oklahoma football,Iowa football,Auburn football,Penn State vs Iowa,BYU football,Virginia Tech football,Michigan vs Nebraska,LSU vs Kentucky,John Lennon,Mr. Olympia 2021,China over Taiwan,Casey Thompson,Texas,Diana Taurasi,Utah football,South Carolina vs Tennessee,Chicago Marathon 2021,Chicago Bulls,Leif Erikson Day,
10/10/2021T07:00:1633863606Z,Alabama football,Oklahoma football,Iowa football,Auburn football,Sean Clifford,BYU football,Virginia Tech football,Michigan vs Nebraska,Baylor football,John Lennon,Casey Thompson,Texas,Utah football,Diana Taurasi,Chicago Marathon 2021,South Carolina vs Tennessee,Anthony Joshua,Chicago Bulls,Leif Erikson Day,Bruno Mars,
10/10/2021T08:00:1633867206Z,Alabama football,Oklahoma football,Penn State vs Iowa,Iowa football,Auburn football,BYU football,Virginia Tech football,Michigan vs Nebraska,Baylor football,John Lennon,Texas,Utah football,Diana Taurasi,Chicago Marathon 2021,South Carolina vs Tennessee,Anthony Joshua,Chicago Bulls,Leif Erikson Day,That '70s Show,Bruno Mars,
10/10/2021T09:00:1633870806Z,Alabama football,Oklahoma football,Iowa football,Auburn football,Penn State vs Iowa,BYU football,Virginia Tech football,Michigan vs Nebraska,Baylor football,John Lennon,Texas,Utah football,Diana Taurasi,South Carolina vs Tennessee,Anthony Joshua,Leif Erikson Day,Chicago Bulls,Bruno Mars,Fury vs Wilder 3,Dodgers,
10/10/2021T10:00:1633874406Z,Alabama football,Oklahoma football,Auburn Football,Iowa football,Penn State vs Iowa,Virginia Tech football,Michigan vs Nebraska,LSU vs Kentucky,Baylor football,John Lennon,Texas,Utah football,Chicago Marathon 2021,Diana Taurasi,South Carolina vs Tennessee,Anthony Joshua,Leif Erikson Day,Chicago Bulls,BYU,Jon Gruden email,
10/10/2021T11:00:1633878006Z,Kim Kardashian,Alabama football,Oklahoma football,Iowa football,Sean Clifford,Georgia vs Auburn,BYU football,Virginia Tech football,Michigan vs Nebraska,Mr. Olympia 2021,John Lennon,Casey Thompson,Texas,Utah football,Chicago Marathon 2021,Diana Taurasi,South Carolina vs Tennessee,Anthony Joshua,Golden State Warriors,Bruno Mars,
10/10/2021T12:00:1633881611Z,Kim Kardashian,Alabama football,Oklahoma football,Iowa football,Auburn Football,Sean Clifford,BYU football,Michigan vs Nebraska,Notre Dame vs Virginia Tech,LSU vs Kentucky,Baylor football,Mr. Olympia 2021,John Lennon,China over Taiwan,Texas,Chicago Marathon 2021,Utah football,Anthony Joshua,Diana Taurasi,South Carolina vs Tennessee,
10/10/2021T13:00:1633885206Z,Kim Kardashian,Alabama football,Oklahoma football,Iowa football,Auburn football,Virginia Tech football,BYU football,Michigan vs Nebraska,LSU vs Kentucky,Mr. Olympia 2021,John Lennon,Chicago Marathon 2021,China over Taiwan,Texas,Utah football,Anthony Joshua,South Carolina vs Tennessee,Diana Taurasi,Golden State Warriors,Leif Erikson Day,
10/10/2021T14:00:1633888805Z,Kim Kardashian,Alabama football,Oklahoma football,Iowa football,Auburn football,Penn State vs Iowa,BYU football,Sean Clifford,Michigan vs Nebraska,Notre Dame vs Virginia Tech,LSU vs Kentucky,Chicago Marathon 2021,Mr. Olympia 2021,John Lennon,China over Taiwan,Anthony Joshua,Texas,South Carolina vs Tennessee,Diana Taurasi,Leif Erikson Day,
10/10/2021T15:00:1633892406Z,Kim Kardashian,Jets,Tommy Fury,LaGuardia Airport emergency landing,Allen West,Alabama football,Oklahoma football,Iowa football,Auburn football,Sean Clifford,BYU football,Michigan vs Nebraska,Notre Dame vs Virginia Tech,LSU vs Kentucky,Chicago Marathon 2021,Baylor football,Mr. Olympia 2021,John Lennon,China over Taiwan,Anthony Joshua,
10/10/2021T16:00:1633896006Z,Jets,Kim Kardashian,F1,Tommy Fury,LaGuardia Airport emergency landing,Allen West,Southwest Airlines flights,Alabama football,Oklahoma football,Iowa football,Auburn football,Penn State vs Iowa,BYU football,Michigan vs Nebraska,Notre Dame vs Virginia Tech,Chicago Marathon 2021,LSU vs Kentucky,Baylor football,Mr. Olympia 2021,Anthony Joshua,
10/10/2021T17:00:1633899606Z,Jets,Kim Kardashian,F1,Tommy Fury,LaGuardia Airport emergency landing,Allen West,Southwest Airlines flights,Joe Mixon,Stink Bug,Alabama Football,Oklahoma football,Iowa football,Auburn football,Sean Clifford,Virginia Tech football,Michigan vs Nebraska,Chicago Marathon 2021,LSU vs Kentucky,Baylor football,Mr. Olympia 2021,
10/10/2021T18:00:1633903206Z,Jets,Kim Kardashian,F1,Southwest Airlines flights,Tommy Fury,LaGuardia Airport emergency landing,Allen West,Joe Mixon,Teddy Bridgewater,Stink Bug,Alabama football,Oklahoma football,Iowa football,Auburn football,Lakers,Sean Clifford,Michigan vs Nebraska,Chicago Marathon 2021,Notre Dame vs Virginia Tech,LSU vs Kentucky,
10/10/2021T19:00:1633906806Z,Jets,Kim Kardashian,Bengals,Halsey,F1,Broncos vs Steelers,Southwest Airlines flights,LaGuardia Airport emergency landing,Allen West,Dolphins vs Buccaneers,Patriots vs Texans,Eagles vs Panthers,Stink Bug,Saints vs Washington,Alabama football,Oklahoma football,Michigan football,Iowa football,Penn State vs Iowa,Auburn football,
10/10/2021T20:00:1633910406Z,Jets,Bengals,Kim Kardashian,Halsey,F1,Broncos vs Steelers,Spain vs France,Southwest Airlines flights,Dolphins vs Buccaneers,Patriots vs Texans,Eagles vs Panthers,Saints vs Washington,LaGuardia Airport emergency landing,Allen West,Stink Bug,World Mental Health Day 2021,Alabama football,Oklahoma football,Michigan football,Iowa football,
10/10/2021T21:00:1633914006Z,Jets,Bengals,College football rankings,Kim Kardashian,Spain vs France,Broncos vs Steelers,Halsey,F1,Jacksonville Jaguars,Dolphins vs Buccaneers,Southwest Airlines flights,Eagles vs Panthers,Saints vs Washington,LaGuardia Airport emergency landing,Allen West,Lions vs Vikings,Stink Bug,Bears vs Raiders,Italy vs Belgium,World Mental Health Day 2021,
10/10/2021T22:00:1633917606Z,Packers,Jets,College football rankings,Kim Kardashian,Spain vs France,Broncos vs Steelers,Jacksonville Jaguars,Giants vs Cowboys,Halsey,F1,Dolphins vs Buccaneers,Chargers,Southwest Airlines flights,Patriots vs Texans,Eagles vs Panthers,Bears vs Raiders,Saints vs Washington,UEFA Nations League,Lions vs Vikings,Allen West,
10/10/2021T23:00:1633921206Z,Packers,Jets,Giants vs Cowboys,Kim Kardashian,Broncos vs Steelers,Spain vs France,Chargers,Halsey,Jacksonville Jaguars,Dolphins vs Buccaneers,F1,UEFA Nations League,Southwest Airlines flights,49ers vs Cardinals,Bears vs Raiders,Eagles vs Panthers,Columbus Day,Saints vs Washington,Lions vs Vikings,Allen West,
10/11/2021T00:00:1633924806Z,Packers,Jets,Giants vs Cowboys,College football rankings,Kim Kardashian,Spain vs France,Chargers,Jacksonville Jaguars,Broncos vs Steelers,Halsey,Dolphins vs Buccaneers,F1,49ers vs Cardinals,Bears vs Raiders,Southwest Airlines flights,Columbus Day,Saints vs Washington,Lions vs Vikings,Allen West,Mexico vs Honduras,
10/11/2021T01:00:1633928406Z,Packers,Jets,Giants vs Cowboys,Raiders,College football rankings,Chargers,Kim Kardashian,Spain vs France,Broncos vs Steelers,Jacksonville Jaguars,Halsey,Dolphins vs Buccaneers,49ers vs Cardinals,F1,Southwest Airlines flights,Columbus Day,Mexico vs Honduras,Eagles vs Panthers,Saints vs Washington,USMNT,
10/11/2021T02:00:1633932006Z,Packers,Jets,Giants vs Cowboys,Southwest Airlines,Chargers,Kim Kardashian,Spain vs France,Jacksonville Jaguars,Broncos vs Steelers,Red Sox Game,Halsey,49ers vs Cardinals,Dolphins vs Buccaneers,USMNT,Mexico vs Honduras,Josh Allen,F1,Columbus Day,Eagles vs Panthers,Saints vs Washington,
10/11/2021T03:00:1633935606Z,Packers,Jets,Giants vs Cowboys,Southwest Airlines,Raiders,Astros,Chargers,Kim Kardashian,Josh Allen,Spain vs France,Red Sox Game,Broncos vs Steelers,Jacksonville Jaguars,Halsey,49ers vs Cardinals,USMNT,Dolphins vs Buccaneers,Tornado watch,Mexico vs Honduras,Columbus Day,
10/11/2021T04:00:1633939206Z,Packers,Jets,Giants vs Cowboys,Southwest Airlines,Raiders,Astros,Bills vs Chiefs,Chargers,Kim Kardashian,Red Sox - Game,Columbus Day,Spain vs France,Severe Thunderstorm Warning,Jacksonville Jaguars,Broncos vs Steelers,Halsey,49ers vs Cardinals,USMNT,Dolphins vs Buccaneers,Mexico vs Honduras,
10/11/2021T05:00:1633942806Z,Packers,Jets,Giants vs Cowboys,Astros,Southwest Airlines,Raiders,Bills vs Chiefs,Chargers,Red Sox Game,Kim Kardashian,Columbus Day,Broncos vs Steelers,Jacksonville Jaguars,Spain vs France,Halsey,49ers vs Cardinals,USMNT,Dolphins vs Buccaneers,Severe thunderstorm warning,F1,
