Trends file:
Created by:		chris
Created on:\tt09/18/2021T14:31:1631989880Z
Number of trends:	20
Country:		united_states
Zulu,#0,#1,#2,#3,#4,#5,#6,#7,#8,#9,#10,#11,#12,#13,#14,#15,#16,#17,#18,#19,
09/19/2021T19:00:1632092405Z,Dallas Cowboys,Raiders,IPL,West Ham vs Man United,Emmys 2021,Baker Mayfield,49ers vs Eagles,Tottenham,Yoel Romero,Penn State football,Alabama vs Florida,Nebraska football,UCLA football,Miami Hurricanes,Deltarune Chapter 2,UFC Fight Night,Boise State football,Karen Civil,SpaceX,Kentucky football,
09/19/2021T20:00:1632096006Z,Dallas Cowboys,Raiders,Saints,Bears,Baker Mayfield,IPL,Tottenham,West Ham vs Man United,Emmys 2021,Buccaneers,Endometriosis,NFL Week 2,Yoel Romero,Anthony Davis,Patriots vs Jets,Penn State football,Alabama vs Florida,Nebraska football,UCLA football,Miami Hurricanes,
09/19/2021T21:00:1632099606Z,Dallas Cowboys,Chicago Bears,Raiders,Browns,Saints,Tampa Bay Buccaneers,Chelsea,PSG,Rams,IPL,Adele,Clemson,49ers vs Eagles,Emmys 2021,West Ham vs Man United,Patriots vs Jets,Endometriosis,NFL Week 2,Anthony Davis,Marjorie Taylor Greene,
09/19/2021T22:00:1632103206Z,Dallas Cowboys,Chicago Bears,Raiders,Browns,Tampa Bay Buccaneers,Manchester United,Saints,PSG,Rams,Chelsea,Fresno State football,49ers vs Eagles,IPL,Teddy Bridgewater,Rich Paul,Oklahoma State football,Oregon Ducks football,Clemson,Emmys 2021,NFL Week 2,
09/19/2021T23:00:1632106806Z,Dallas Cowboys,Chicago Bears,Raiders,Tampa Bay Buccaneers,Browns,Georgia football,Manchester United,Saints,PSG,Rams,Chelsea,49ers vs Eagles,IPL,Teddy Bridgewater,Rich Paul,Emmys 2021,Oklahoma State football,Oregon Ducks football,Clemson,Patriots vs Jets,
09/20/2021T00:00:1632110406Z,Dallas Cowboys,Chicago Bears,Raiders,Tampa Bay Buccaneers,Browns,Manchester United,Saints,Georgia football,PSG,Rams,Chelsea,49ers vs Eagles,Clemson,Rich Paul,Teddy Bridgewater,Emmys 2021,IPL,Oregon Ducks football,NFL Week 2,Endometriosis,
09/20/2021T01:00:1632114006Z,Dallas Cowboys,Chicago Bears,Tampa Bay Buccaneers,Raiders,Browns,Emmys 2021,PSG,Manchester United,Saints,Georgia football,Chelsea,49ers vs Eagles,Rich Paul,Clemson,Teddy Bridgewater,Dalvin Cook,IPL,La Palma volcano,Patriots vs Jets,Titans vs Seahawks,
09/20/2021T02:00:1632117606Z,Dallas Cowboys,Ted Lasso,Chicago Bears,Tampa Bay Buccaneers,Raiders,Browns,Ravens,Manchester United,Saints,Georgia football,PSG,Rams,Chelsea,49ers vs Eagles,Rich Paul,Clemson,Teddy Bridgewater,Dalvin Cook,IPL,La Palma volcano,
09/20/2021T03:00:1632121206Z,Gabby Petito,Dallas Cowboys,Emmys 2021,Chicago Bears,Tampa Bay Buccaneers,Raiders,Ravens,Browns,Hacks,Manchester United,Saints,Georgia football,PSG,Rams,Chelsea,49ers vs Eagles,Evan Peters,Rich Paul,Clemson,Teddy Bridgewater,
09/20/2021T04:00:1632124806Z,Gabby Petito,Dallas Cowboys,Emmys 2021,Raiders,Chicago Bears,Tampa Bay Buccaneers,Ravens,Browns,Jean Smart,Manchester United,Saints,PSG,Georgia football,Evan Peters,Rams,Chelsea,Grand Teton National Park,La Palma volcano,49ers vs Eagles,Rich Paul,
